Koordinatensystem : Lambert konform konisch
Rechtswert        : 3943500 Meter
Hochwert          : 3036500 Meter
Hoehenlage        : 12 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3943500 3036500  1  1  1   1.7 1012 246  7.4 7  4.3 100    0    0 304 -316  0
3943500 3036500  1  1  2   2.2 1012 254  7.1 7  4.3  99    0    0 304 -316  0
3943500 3036500  1  1  3   2.0 1011 253  7.3 8  4.4  99    0    0 307 -317  0
3943500 3036500  1  1  4   2.2 1010 254  7.9 8  4.4 100    0    0 309 -317  0
3943500 3036500  1  1  5   2.9 1010 268  8.2 8  4.5  99    0    0 308 -316  0
3943500 3036500  1  1  6   2.6 1010 299  5.9 6  4.6  98    0    0 300 -320  0
3943500 3036500  1  1  7   2.1 1010 285  6.4 3  4.3  95    0    0 278 -322  0
3943500 3036500  1  1  8   2.1 1009 285  6.6 1  4.0  91    0    0 254 -321  0
3943500 3036500  1  1  9   1.9 1010 290  6.0 1  4.0  90    0    0 242 -320  0
3943500 3036500  1  1 10   2.3 1010 289  5.8 1  4.0  90    7   29 241 -319  0
3943500 3036500  1  1 11   2.6 1011 293  5.6 1  4.0  88   61   45 240 -318  0
3943500 3036500  1  1 12   2.8 1012 294  5.6 1  4.0  87   48   75 237 -318  0
3943500 3036500  1  1 13   2.6 1012 294  5.3 2  4.0  86   42   84 240 -319  0
3943500 3036500  1  1 14   2.2 1011 286  5.2 2  4.0  88   48   73 242 -319  0
3943500 3036500  1  1 15   2.2 1011 289  5.3 4  3.9  88    0   42 252 -318  0
3943500 3036500  1  1 16   2.1 1011 295  4.9 6  3.9  88    0    6 276 -317  0
3943500 3036500  1  1 17   1.8 1011 298  4.6 4  3.9  88    0    0 276 -316  0
3943500 3036500  1  1 18   1.5 1012 304  4.4 1  3.7  87    0    0 245 -316  0
3943500 3036500  1  1 19   0.8 1012 296  3.8 1  3.6  86    0    0 225 -316  0
3943500 3036500  1  1 20   0.1 1012 280  3.3 2  3.5  88    0    0 227 -316  0
3943500 3036500  1  1 21   0.8 1013 284  3.6 3  3.5  89    0    0 238 -315  0
3943500 3036500  1  1 22   1.1 1013 310  3.5 6  3.7  90    0    0 264 -314  0
3943500 3036500  1  1 23   1.1 1013 301  3.3 6  3.8  93    0    0 283 -314  0
3943500 3036500  1  1 24   0.9 1013 304  3.4 5  3.9  95    0    0 275 -314  0
3943500 3036500  1  2  1   0.8 1013 298  4.0 4  3.8  95    0    0 261 -314  0
3943500 3036500  1  2  2   1.1 1013 304  3.9 4  3.8  93    0    0 254 -314  0
3943500 3036500  1  2  3   1.0 1013 304  4.3 4  3.7  91    0    0 253 -314  0
3943500 3036500  1  2  4   1.1 1013 297  3.4 4  3.7  91    0    0 252 -313  0
3943500 3036500  1  2  5   0.5 1013 312  3.4 2  3.7  92    0    0 241 -313  0
3943500 3036500  1  2  6  -0.1 1014 303  3.4 1  3.6  94    0    0 223 -312  0
3943500 3036500  1  2  7  -0.5 1014 296  2.4 1  3.5  96    0    0 216 -311  0
3943500 3036500  1  2  8  -0.7 1014 294  2.4 1  3.5  96    0    0 214 -310  0
3943500 3036500  1  2  9  -0.2 1015 301  3.0 2  3.5  96    0    0 218 -309  0
3943500 3036500  1  2 10   0.3 1015 292  2.9 4  3.6  94    2   29 230 -310  0
3943500 3036500  1  2 11   0.6 1015 291  3.0 5  3.7  94   17   57 245 -312  0
3943500 3036500  1  2 12   1.2 1016 291  2.8 5  3.7  92    8   75 250 -314  0
3943500 3036500  1  2 13   1.8 1016 290  3.6 4  3.7  88   19   86 246 -315  0
3943500 3036500  1  2 14   1.4 1015 293  3.1 3  3.7  86   51   69 239 -316  0
3943500 3036500  1  2 15   1.7 1015 306  3.1 4  3.7  87   25   53 240 -316  0
3943500 3036500  1  2 16   1.2 1016 301  2.7 5  3.7  88    2   19 251 -316  0
3943500 3036500  1  2 17   0.8 1016 304  2.6 6  3.6  89    0    0 260 -315  0
3943500 3036500  1  2 18  -0.4 1016 281  2.4 4  3.5  92    0    0 253 -312  0
3943500 3036500  1  2 19  -0.1 1016 300  2.8 4  3.5  93    0    0 242 -309  0
3943500 3036500  1  2 20  -1.4 1016 283  2.6 3  3.4  96    0    0 236 -307  0
3943500 3036500  1  2 21  -1.1 1017 277  2.7 3  3.4  99    0    0 230 -306  0
3943500 3036500  1  2 22  -1.6 1017 287  2.6 4  3.4  99    0    0 233 -305  0
3943500 3036500  1  2 23  -2.8 1017 293  2.8 2  3.2 100    0    0 226 -304  0
3943500 3036500  1  2 24  -2.6 1017 303  2.3 0  3.1  99    0    0 206 -303  0
3943500 3036500  1  3  1  -3.8 1017 307  1.8 0  2.9  99    0    0 195 -302  0
3943500 3036500  1  3  2  -5.1 1018 301  1.7 0  2.7 100    0    0 191 -301  0
3943500 3036500  1  3  3  -4.6 1018 304  1.8 0  2.6  99    0    0 189 -300  0
3943500 3036500  1  3  4  -5.0 1018 300  1.4 1  2.6  98    0    0 193 -300  0
3943500 3036500  1  3  5  -5.5 1018 288  1.0 1  2.5  99    0    0 194 -300  0
3943500 3036500  1  3  6  -5.5 1018 263  0.9 1  2.5 100    0    0 191 -300  0
3943500 3036500  1  3  7  -5.5 1018 200  0.4 1  2.5  99    0    0 190 -301  0
