Koordinatensystem : Lambert konform konisch
Rechtswert        : 3943500 Meter
Hochwert          : 3036500 Meter
Hoehenlage        : 12 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3943500 3036500  1  1  1  -1.5 1026 271  1.7 2  3.3 100    0    0 245 -303  2
3943500 3036500  1  1  2  -1.3 1026 202  1.7 3  3.4  99    0    0 239 -303  2
3943500 3036500  1  1  3  -0.9 1026 206  1.7 4  3.4  98    0    0 226 -303  2
3943500 3036500  1  1  4  -0.6 1026 206  1.6 4  3.4  97    0    0 237 -303  2
3943500 3036500  1  1  5  -0.4 1026 224  1.7 6  3.5  96    0    0 263 -303  2
3943500 3036500  1  1  6  -0.4 1026 350  1.3 8  3.5  95    0    0 278 -303  2
3943500 3036500  1  1  7  -0.3 1026   5  2.5 7  3.4  94    0    0 282 -303  2
3943500 3036500  1  1  8  -0.2 1026   6  2.0 7  3.4  92    0    0 277 -303  2
3943500 3036500  1  1  9  -0.1 1026 359  2.1 8  3.3  90    0    0 282 -303  2
3943500 3036500  1  1 10   0.1 1026 340  1.5 7  3.4  90    0   16 282 -303  2
3943500 3036500  1  1 11   0.2 1026   6  2.6 7  3.4  91    0   39 277 -305  2
3943500 3036500  1  1 12   0.5 1026   2  2.4 7  3.5  91    0   60 277 -309  2
3943500 3036500  1  1 13   0.8 1026  12  2.1 6  3.6  91    0   68 274 -312  2
3943500 3036500  1  1 14   0.9 1026  16  1.7 6  3.6  91    0   51 272 -315  2
3943500 3036500  1  1 15   0.8 1026  28  2.0 6  3.7  92    0   32 274 -316  2
3943500 3036500  1  1 16   0.8 1026  32  1.9 7  3.7  93    0    6 278 -316  2
3943500 3036500  1  1 17   1.0 1026  43  1.7 8  3.7  91    0    0 283 -316  2
3943500 3036500  1  1 18   0.7 1026   5  1.8 8  3.6  90    0    0 283 -315  2
3943500 3036500  1  1 19   0.8 1026   2  1.1 7  3.6  91    0    0 279 -314  2
3943500 3036500  1  1 20   0.7 1026 328  1.5 7  3.6  92    0    0 276 -313  2
3943500 3036500  1  1 21   0.6 1026 356  1.3 6  3.6  93    0    0 273 -312  2
3943500 3036500  1  1 22   0.6 1026  25  1.6 6  3.6  93    0    0 270 -309  2
3943500 3036500  1  1 23   0.6 1026  11  1.7 6  3.7  93    0    0 272 -306  2
3943500 3036500  1  1 24   0.7 1026  15  1.5 7  3.7  95    0    0 277 -306  2
3943500 3036500  1  2  1   0.5 1026  14  1.8 6  3.8  96    0    0 278 -309  2
3943500 3036500  1  2  2   1.0 1026  48  3.2 5  3.7  94    0    0 271 -310  2
3943500 3036500  1  2  3   0.8 1026  61  2.1 6  3.7  92    0    0 270 -312  2
3943500 3036500  1  2  4   0.6 1026  90  3.1 3  3.5  89    0    0 260 -313  2
3943500 3036500  1  2  5   0.8 1026  84  2.9 6  3.3  84    0    0 258 -313  2
3943500 3036500  1  2  6   0.7 1026  81  2.8 7  3.2  82    0    0 274 -313  2
3943500 3036500  1  2  7   0.7 1026  77  3.1 7  3.2  82    0    0 278 -314  2
3943500 3036500  1  2  8   0.5 1026  77  2.9 6  3.3  83    0    0 273 -315  2
3943500 3036500  1  2  9   0.3 1026  78  2.9 6  3.3  86    0    0 268 -315  2
3943500 3036500  1  2 10   0.3 1026  72  2.7 5  3.3  87    0   27 262 -315  2
