Koordinatensystem : Lambert konform konisch
Rechtswert        : 3943500 Meter
Hochwert          : 3036500 Meter
Hoehenlage        : 12 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3943500 3036500  1  1  1   2.1 1012 159  4.8 4  4.2  93    0    0 213 -315  1
3943500 3036500  1  1  2   0.7 1012 138  3.6 4  3.8  94    0    0 208 -315  1
3943500 3036500  1  1  3  -0.3 1012 123  2.8 4  3.5  95    0    0 214 -315  1
3943500 3036500  1  1  4  -0.3 1012 124  3.0 4  3.5  95    0    0 228 -315  1
3943500 3036500  1  1  5  -0.4 1012 126  3.1 5  3.5  94    0    0 234 -315  1
3943500 3036500  1  1  6  -0.3 1012 117  3.5 5  3.5  95    0    0 233 -315  1
3943500 3036500  1  1  7  -0.6 1011 144  2.6 6  3.5  94    0    0 238 -315  1
3943500 3036500  1  1  8  -0.8 1011 129  2.6 4  3.4  94    0    0 231 -315  1
3943500 3036500  1  1  9  -1.0 1012 165  2.3 4  3.3  94    0    0 219 -315  1
3943500 3036500  1  1 10  -1.0 1012 112  2.9 6  3.4  96    0   25 232 -316  1
3943500 3036500  1  1 11   0.1 1012 120  3.2 6  3.5  95   13   74 245 -316  1
3943500 3036500  1  1 12   0.9 1012 129  3.4 3  3.6  92   51  107 228 -317  1
3943500 3036500  1  1 13   1.6 1012 122  3.3 3  3.7  89   69  115 212 -319  1
3943500 3036500  1  1 14   1.7 1012  98  4.1 3  3.7  86   65  101 211 -321  1
3943500 3036500  1  1 15   1.1 1011 108  3.2 4  3.6  86   19   70 215 -320  1
3943500 3036500  1  1 16   0.6 1011 107  2.7 4  3.5  87    3   26 220 -320  1
3943500 3036500  1  1 17  -0.4 1011 102  4.3 6  3.4  90    0    0 230 -321  1
3943500 3036500  1  1 18  -0.6 1011 112  3.2 6  3.4  93    0    0 238 -320  1
3943500 3036500  1  1 19  -0.8 1011 140  4.2 5  3.4  94    0    0 232 -319  1
3943500 3036500  1  1 20  -1.1 1011 123  4.5 5  3.3  93    0    0 226 -319  1
3943500 3036500  1  1 21  -0.6 1011 122  4.0 4  3.3  94    0    0 221 -320  1
3943500 3036500  1  1 22  -0.4 1010 127  2.3 2  3.4  93    0    0 209 -319  1
3943500 3036500  1  1 23  -0.5 1010 127  3.9 2  3.4  92    0    0 201 -319  1
3943500 3036500  1  1 24   0.0 1009 131  3.8 6  3.4  92    0    0 222 -319  1
3943500 3036500  1  2  1   0.5 1009 131  2.7 7  3.5  91    0    0 248 -319  1
3943500 3036500  1  2  2   0.9 1009 135  2.6 8  3.6  90    0    0 259 -318  1
3943500 3036500  1  2  3   1.1 1009 138  2.6 7  3.7  89    0    0 262 -317  1
3943500 3036500  1  2  4   1.3 1008 142  3.4 6  3.7  89    0    0 255 -317  1
3943500 3036500  1  2  5   0.8 1007 143  2.7 3  3.6  88    0    0 239 -318  1
3943500 3036500  1  2  6   0.7 1007 137  3.4 2  3.6  89    0    0 219 -318  1
3943500 3036500  1  2  7   0.7 1006 131  2.8 2  3.6  90    0    0 213 -318  1
3943500 3036500  1  2  8   0.9 1006 146  3.4 3  3.6  90    0    0 218 -318  1
3943500 3036500  1  2  9   0.6 1005 136  3.0 3  3.6  90    0    0 224 -317  1
3943500 3036500  1  2 10   1.5 1005 146  3.1 4  3.7  91    0   15 231 -317  1
3943500 3036500  1  2 11   2.3 1005 151  3.4 7  3.9  89    0   42 254 -319  1
3943500 3036500  1  2 12   3.0 1005 146  3.7 7  4.1  88    1   76 272 -324  1
3943500 3036500  1  2 13   4.5 1004 144  3.8 8  4.4  87    2   85 283 -328  1
3943500 3036500  1  2 14   4.7 1003 144  3.9 7  4.5  85    3   84 288 -332  1
3943500 3036500  1  2 15   4.6 1002 140  3.4 7  4.5  84    5   67 284 -334  1
3943500 3036500  1  2 16   4.7 1002 142  3.7 7  4.4  83    0   17 286 -335  1
3943500 3036500  1  2 17   5.0 1001 149  4.5 7  4.5  82    0    0 288 -336  1
3943500 3036500  1  2 18   5.3 1001 147  4.7 8  4.5  81    0    0 297 -337  1
3943500 3036500  1  2 19   5.7 1000 154  4.7 7  4.6  81    0    0 302 -338  1
3943500 3036500  1  2 20   5.9 1000 170  5.0 8  4.8  82    0    0 306 -338  1
3943500 3036500  1  2 21   6.1 1000 178  5.8 8  4.9  84    0    0 315 -337  1
3943500 3036500  1  2 22   6.0 1001 178  4.6 7  5.1  86    0    0 310 -338  1
3943500 3036500  1  2 23   5.3 1001 173  4.1 6  5.1  88    0    0 297 -338  1
3943500 3036500  1  2 24   4.8 1001 174  4.1 6  5.0  91    0    0 289 -338  1
3943500 3036500  1  3  1   4.0 1002 171  3.7 3  4.9  94    0    0 270 -338  1
3943500 3036500  1  3  2   3.7 1002 173  3.4 0  4.8  94    0    0 234 -338  1
3943500 3036500  1  3  3   3.5 1002 174  3.8 0  4.7  94    0    0 218 -338  1
3943500 3036500  1  3  4   3.2 1002 177  3.0 1  4.6  95    0    0 224 -338  1
3943500 3036500  1  3  5   2.9 1002 168  3.4 2  4.5  95    0    0 235 -338  1
3943500 3036500  1  3  6   3.0 1002 163  3.3 4  4.4  94    0    0 252 -339  1
3943500 3036500  1  3  7   3.1 1001 160  3.5 7  4.5  93    0    0 283 -339  1
3943500 3036500  1  3  8   3.8 1001 166  3.9 8  4.6  93    0    0 311 -339  1
3943500 3036500  1  3  9   3.9 1001 186  3.7 8  4.7  94    0    0 317 -340  1
3943500 3036500  1  3 10   4.2 1001 187  6.1 8  4.9  94    0   16 316 -339  1
3943500 3036500  1  3 11   4.7 1001 194  4.9 8  5.0  94    0   25 316 -339  1
3943500 3036500  1  3 12   5.2 1002 193  3.8 7  5.1  94    0   31 309 -339  1
3943500 3036500  1  3 13   5.3 1001 195  4.2 7  5.1  92    0   41 304 -338  1
3943500 3036500  1  3 14   5.4 1001 183  3.5 5  5.0  89    0   67 294 -339  1
3943500 3036500  1  3 15   5.4 1000 170  2.1 6  4.9  87    5   62 293 -339  1
3943500 3036500  1  3 16   4.9 1000 145  2.1 8  4.7  85    2   25 311 -339  1
3943500 3036500  1  3 17   3.8 1000 120  1.6 8  4.6  87    0    0 321 -338  1
3943500 3036500  1  3 18   3.1  999 118  2.1 6  4.4  90    0    0 306 -337  1
3943500 3036500  1  3 19   3.0 1000 104  2.6 5  4.4  91    0    0 287 -337  1
3943500 3036500  1  3 20   2.6 1000 112  2.2 4  4.3  92    0    0 275 -337  1
3943500 3036500  1  3 21   2.5 1000  88  1.7 5  4.3  93    0    0 277 -338  1
3943500 3036500  1  3 22   2.3 1001  67  1.1 7  4.2  92    0    0 294 -339  1
